Time_point	Streptomycin	Immigration	Predation	Replicate	Ciliates_ml	OD600
8	4	1	0	4	NA	0.1384
8	4	1	0	5	NA	0.1424
8	4	1	0	6	NA	0.1478
8	4	1	0	7	NA	0.1357
8	4	1	0	8	NA	0.1445
8	0	0	1	1	NA	0.0554
8	0	0	1	2	NA	0.0557
8	0	0	1	3	NA	0.0606
8	0	0	1	4	NA	0.0577
8	0	0	1	5	NA	0.0592
8	0	0	1	6	NA	0.0711
8	0	0	1	7	NA	0.0605
8	0	0	1	8	NA	0.0638
8	4	0	1	1	NA	0.0558
8	4	0	1	2	NA	0.0573
8	4	0	1	3	NA	0.0561
8	4	0	1	4	NA	0.0541
8	4	0	1	5	NA	0.0544
8	4	0	1	6	NA	0.0562
8	4	0	1	7	NA	0.0534
8	4	0	1	8	NA	0.0533
8	0	1	1	1	NA	0.0559
8	0	1	1	2	NA	0.0542
8	0	1	1	3	NA	0.0566
8	0	1	1	4	NA	0.0547
8	0	1	1	5	NA	0.0542
8	0	1	1	6	NA	0.0565
8	0	1	1	7	NA	0.0548
8	0	1	1	8	NA	0.0735
8	4	1	1	1	NA	0.0592
8	4	1	1	2	NA	0.0561
8	4	1	1	3	NA	0.0584
8	4	1	1	4	NA	0.0539
8	4	1	1	5	NA	0.0553
8	4	1	1	6	NA	0.0535
8	4	1	1	7	NA	0.0543
8	4	1	1	8	NA	0.0577
8	16	0	0	1	NA	0.1446
8	16	0	0	2	NA	0.1485
8	16	0	0	3	NA	0.1383
8	16	0	0	4	NA	0.1533
8	16	0	0	5	NA	0.1389
8	16	0	0	6	NA	0.1434
8	16	0	0	7	NA	0.1326
8	16	0	0	8	NA	0.1449
8	128	0	0	1	NA	0.1458
8	128	0	0	2	NA	0.1467
8	128	0	0	3	NA	0.1421
8	128	0	0	4	NA	0.1532
8	128	0	0	5	NA	0.1477
8	128	0	0	6	NA	0.1457
8	128	0	0	7	NA	0.1474
8	128	0	0	8	NA	0.1561
8	16	1	0	1	NA	0.1273
8	16	1	0	2	NA	0.1297
8	16	1	0	3	NA	0.1135
8	16	1	0	4	NA	0.1308
8	16	1	0	5	NA	0.1235
8	16	1	0	6	NA	0.1402
8	16	1	0	7	NA	0.1399
8	16	1	0	8	NA	0.1453
8	128	1	0	1	NA	0.1373
8	128	1	0	2	NA	0.1507
8	128	1	0	3	NA	0.1337
8	128	1	0	4	NA	0.1356
8	128	1	0	5	NA	0.1301
8	128	1	0	6	NA	0.1452
8	128	1	0	7	NA	0.1478
8	128	1	0	8	NA	0.164
8	16	0	1	1	NA	0.0548
8	16	0	1	2	NA	0.057
8	16	0	1	3	NA	0.0543
8	16	0	1	4	NA	0.0565
8	16	0	1	5	NA	0.0554
8	16	0	1	6	NA	0.0536
8	16	0	1	7	NA	0.0548
8	16	0	1	8	NA	0.056
8	128	0	1	1	NA	0.0566
8	128	0	1	2	NA	0.0569
8	128	0	1	3	NA	0.0571
8	128	0	1	4	NA	0.0564
8	128	0	1	5	NA	0.054
8	128	0	1	6	NA	0.0562
8	128	0	1	7	NA	0.0569
8	128	0	1	8	NA	0.0585
8	16	1	1	1	NA	0.0545
8	16	1	1	2	NA	0.0531
8	16	1	1	3	NA	0.054
8	16	1	1	4	NA	0.0539
8	16	1	1	5	NA	0.0523
8	16	1	1	6	NA	0.0574
8	16	1	1	7	NA	0.0633
8	16	1	1	8	NA	0.054
8	128	1	1	1	NA	0.0564
8	128	1	1	2	NA	0.0564
8	128	1	1	3	NA	0.0539
8	128	1	1	4	NA	0.0562
8	128	1	1	5	NA	0.0548
8	128	1	1	6	NA	0.054
8	128	1	1	7	NA	0.0539
8	128	1	1	8	NA	0.0562
12	0	0	0	1	NA	0.1548
12	0	0	0	2	NA	0.1475
12	0	0	0	3	NA	0.1554
12	0	0	0	4	NA	0.1459
12	0	0	0	5	NA	0.1402
12	0	0	0	6	NA	0.1383
12	0	0	0	7	NA	0.1499
12	0	0	0	8	NA	0.1493
12	4	0	0	1	NA	0.1484
12	4	0	0	2	NA	0.1499
12	4	0	0	3	NA	0.1512
12	4	0	0	4	NA	0.1407
12	4	0	0	5	NA	0.1428
12	4	0	0	6	NA	0.1349
12	4	0	0	7	NA	0.1345
12	4	0	0	8	NA	0.1442
12	0	1	0	1	NA	0.1518
12	0	1	0	2	NA	0.1429
12	0	1	0	3	NA	0.1519
12	0	1	0	4	NA	0.146
12	0	1	0	5	NA	0.1321
12	0	1	0	6	NA	0.1445
12	0	1	0	7	NA	0.1482
12	0	1	0	8	NA	0.1529
12	4	1	0	1	NA	0.1556
12	4	1	0	2	NA	0.1394
12	4	1	0	3	NA	0.1587
12	4	1	0	4	NA	0.1531
12	4	1	0	5	NA	0.1507
12	4	1	0	6	NA	0.1575
12	4	1	0	7	NA	0.1584
12	4	1	0	8	NA	0.1598
12	0	0	1	1	122	0.0586
12	0	0	1	2	165	0.0619
12	0	0	1	3	107	0.0628
12	0	0	1	4	143	0.0585
12	0	0	1	5	NA	0.0586
12	0	0	1	6	NA	0.0625
12	0	0	1	7	NA	0.059
12	0	0	1	8	NA	0.0585
12	4	0	1	1	136	0.0567
12	4	0	1	2	138	0.0569
12	4	0	1	3	90	0.0583
12	4	0	1	4	141	0.0556
12	4	0	1	5	NA	0.0569
12	4	0	1	6	NA	0.0555
12	4	0	1	7	NA	0.0597
12	4	0	1	8	NA	0.0585
12	0	1	1	1	103	0.0529
12	0	1	1	2	200	0.0572
12	0	1	1	3	151	0.0561
12	0	1	1	4	121	0.0692
12	0	1	1	5	NA	0.0555
12	0	1	1	6	NA	0.0544
12	0	1	1	7	NA	0.0552
12	0	1	1	8	NA	0.0856
12	4	1	1	1	187	0.0551
12	4	1	1	2	324	0.0544
12	4	1	1	3	74	0.0566
12	4	1	1	4	105	0.054
12	4	1	1	5	NA	0.0582
12	4	1	1	6	NA	0.0542
12	4	1	1	7	NA	0.0544
12	4	1	1	8	NA	0.0665
12	16	0	0	1	NA	0.1557
12	16	0	0	2	NA	0.1524
12	16	0	0	3	NA	0.1434
12	16	0	0	4	NA	0.1578
12	16	0	0	5	NA	0.1591
12	16	0	0	6	NA	0.1562
12	16	0	0	7	NA	0.1509
12	16	0	0	8	NA	0.1528
12	128	0	0	1	NA	0.1504
12	128	0	0	2	NA	0.1409
12	128	0	0	3	NA	0.1651
12	128	0	0	4	NA	0.1399
12	128	0	0	5	NA	0.1603
12	128	0	0	6	NA	0.1466
12	128	0	0	7	NA	0.1543
12	128	0	0	8	NA	0.1639
12	16	1	0	1	NA	0.1605
12	16	1	0	2	NA	0.1447
12	16	1	0	3	NA	0.1397
12	16	1	0	4	NA	0.1497
12	16	1	0	5	NA	0.1552
12	16	1	0	6	NA	0.1476
12	16	1	0	7	NA	0.155
12	16	1	0	8	NA	0.1529
12	128	1	0	1	NA	0.1549
12	128	1	0	2	NA	0.1517
12	128	1	0	3	NA	0.1427
12	128	1	0	4	NA	0.1558
12	128	1	0	5	NA	0.1394
12	128	1	0	6	NA	0.1639
12	128	1	0	7	NA	0.1535
12	128	1	0	8	NA	0.1583
12	16	0	1	1	167	0.0589
12	16	0	1	2	186	0.0667
12	16	0	1	3	154	0.0593
12	16	0	1	4	124	0.0564
12	16	0	1	5	NA	0.0591
12	16	0	1	6	NA	0.0567
12	16	0	1	7	NA	0.0583
12	16	0	1	8	NA	0.059
12	128	0	1	1	171	0.0584
12	128	0	1	2	149	0.0598
12	128	0	1	3	155	0.059
12	128	0	1	4	201	0.057
12	128	0	1	5	NA	0.0552
12	128	0	1	6	NA	0.0582
12	128	0	1	7	NA	0.0552
12	128	0	1	8	NA	0.0544
12	16	1	1	1	NA	0.0579
12	16	1	1	2	NA	0.0569
12	16	1	1	3	NA	0.0553
12	16	1	1	4	NA	0.0588
12	16	1	1	5	155	0.0555
12	16	1	1	6	153	0.0625
12	16	1	1	7	106	0.058
12	16	1	1	8	142	0.0547
12	128	1	1	1	NA	0.0554
12	128	1	1	2	NA	0.056
12	128	1	1	3	NA	0.0552
12	128	1	1	4	NA	0.0504
12	128	1	1	5	146	0.0528
12	128	1	1	6	137	0.0517
12	128	1	1	7	171	0.0534
12	128	1	1	8	217	0.0536
