"sample"	"strain"	"median"
"T12_AB0_I1_REP2"	"K12"	0
"T12_AB0_I1_REP2"	"2494"	0
"T12_AB0_I1_REP2"	"2159"	0
"T12_AB0_I1_REP2"	"2792"	0
"T12_AB0_I1_REP2"	"2443"	21
"T12_AB0_I1_REP2"	"1292"	9
"T12_AB0_I1_REP2"	"3172"	15
"T12_AB0_I1_REP2"	"1988"	0
"T12_AB0_I1_REP2"	"2659"	0
"T12_AB0_I1_REP2"	"1279"	0
"T12_AB0_I1_REP2"	"1992"	2
"T12_AB0_I1_REP2"	"1966"	0
"T12_AB0_I1_REP2"	"97"	0
"T12_AB0_I1_REP2"	"2164"	0
"T12_AB0_I1_REP2"	"1896"	47
"T12_AB0_I1_REP2"	"105"	10
"T12_AB0_I1_REP2"	"1874"	17
"T12_AB0_I1_REP2"	"1923"	6
"T12_AB0_I1_REP2"	"1287"	89
"T12_AB0_I1_REP2"	"3031"	8
"T12_AB0_I1_REP2"	"216"	2
"T12_AB0_I1_REP2"	"1299"	0
"T12_AB0_I1_REP2"	"1977"	480
"T12_AB0_I1_REP2"	"2160"	6
"T12_AB0_I1_REP2"	"3237"	0
"T12_AB0_I1_REP2"	"403"	8
"T12_AB0_I1_REP2"	"2467"	0
"T12_AB0_I1_REP2"	"262"	0
"T12_AB0_I1_REP2"	"1875"	366
"T12_AB0_I1_REP2"	"1842"	8
"T12_AB0_I1_REP2"	"2948"	0
"T12_AB0_I1_REP3"	"RP4"	0
"T12_AB0_I1_REP3"	"1972"	369
"T12_AB0_I1_REP3"	"6"	43
"T12_AB0_I1_REP3"	"K12"	0
"T12_AB0_I1_REP3"	"2494"	0
"T12_AB0_I1_REP3"	"2159"	0
"T12_AB0_I1_REP3"	"2792"	0
"T12_AB0_I1_REP3"	"2443"	13
"T12_AB0_I1_REP3"	"1292"	10
"T12_AB0_I1_REP3"	"3172"	16
"T12_AB0_I1_REP3"	"1988"	0
"T12_AB0_I1_REP3"	"2659"	0
"T12_AB0_I1_REP3"	"1279"	0
"T12_AB0_I1_REP3"	"1992"	0
"T12_AB0_I1_REP3"	"1966"	0
"T12_AB0_I1_REP3"	"97"	0
"T12_AB0_I1_REP3"	"2164"	0
"T12_AB0_I1_REP3"	"1896"	43
"T12_AB0_I1_REP3"	"105"	11
"T12_AB0_I1_REP3"	"1874"	14
"T12_AB0_I1_REP3"	"1923"	8
"T12_AB0_I1_REP3"	"1287"	108.5
"T12_AB0_I1_REP3"	"3031"	10
"T12_AB0_I1_REP3"	"216"	2
"T12_AB0_I1_REP3"	"1299"	0
"T12_AB0_I1_REP3"	"1977"	544.5
"T12_AB0_I1_REP3"	"2160"	7
"T12_AB0_I1_REP3"	"3237"	0
"T12_AB0_I1_REP3"	"403"	7
"T12_AB0_I1_REP3"	"2467"	0
"T12_AB0_I1_REP3"	"262"	0
"T12_AB0_I1_REP3"	"1875"	451
"T12_AB0_I1_REP3"	"1842"	7
"T12_AB0_I1_REP3"	"2948"	0
"T12_AB128_I0_REP1"	"RP4"	0
"T12_AB128_I0_REP1"	"1972"	0
"T12_AB128_I0_REP1"	"6"	0
"T12_AB128_I0_REP1"	"K12"	0
"T12_AB128_I0_REP1"	"2494"	0
"T12_AB128_I0_REP1"	"2159"	0
"T12_AB128_I0_REP1"	"2792"	0
"T12_AB128_I0_REP1"	"2443"	0
"T12_AB128_I0_REP1"	"1292"	0
"T12_AB128_I0_REP1"	"3172"	50
"T12_AB128_I0_REP1"	"1988"	0
"T12_AB128_I0_REP1"	"2659"	262
"T12_AB128_I0_REP1"	"1279"	0
"T12_AB128_I0_REP1"	"1992"	11
"T12_AB128_I0_REP1"	"1966"	0
"T12_AB128_I0_REP1"	"97"	0
"T12_AB128_I0_REP1"	"2164"	0
"T12_AB128_I0_REP1"	"1896"	216
"T12_AB128_I0_REP1"	"105"	74
"T12_AB128_I0_REP1"	"1874"	0
"T12_AB128_I0_REP1"	"1923"	0
"T12_AB128_I0_REP1"	"1287"	1077
"T12_AB128_I0_REP1"	"3031"	227
"T12_AB128_I0_REP1"	"216"	0
"T12_AB128_I0_REP1"	"1299"	0
"T12_AB128_I0_REP1"	"1977"	0
"T12_AB128_I0_REP1"	"2160"	0
"T12_AB128_I0_REP1"	"3237"	0
"T12_AB128_I0_REP1"	"403"	0
"T12_AB128_I0_REP1"	"2467"	0
"T12_AB128_I0_REP1"	"262"	0
"T12_AB128_I0_REP1"	"1875"	594
"T12_AB128_I0_REP1"	"1842"	0
"T12_AB128_I0_REP1"	"2948"	0
"T12_AB128_I0_REP2"	"RP4"	0
"T12_AB128_I0_REP2"	"1972"	0
"T12_AB128_I0_REP2"	"6"	0
"T12_AB128_I0_REP2"	"K12"	0
"T12_AB128_I0_REP2"	"2494"	0
"T12_AB128_I0_REP2"	"2159"	0
"T12_AB128_I0_REP2"	"2792"	0
"T12_AB128_I0_REP2"	"2443"	0
"T12_AB128_I0_REP2"	"1292"	0
"T12_AB128_I0_REP2"	"3172"	17
"T12_AB128_I0_REP2"	"1988"	0
"T12_AB128_I0_REP2"	"2659"	65
"T12_AB128_I0_REP2"	"1279"	0
"T12_AB128_I0_REP2"	"1992"	2
"T12_AB128_I0_REP2"	"1966"	0
"T12_AB128_I0_REP2"	"97"	0
"T12_AB128_I0_REP2"	"2164"	0
"T12_AB128_I0_REP2"	"1896"	159
"T12_AB128_I0_REP2"	"105"	44
"T12_AB128_I0_REP2"	"1874"	0
"T12_AB128_I0_REP2"	"1923"	0
"T12_AB128_I0_REP2"	"1287"	601
"T12_AB128_I0_REP2"	"3031"	202
"T12_AB128_I0_REP2"	"216"	0
"T12_AB128_I0_REP2"	"1299"	0
"T12_AB128_I0_REP2"	"1977"	0
"T12_AB128_I0_REP2"	"2160"	0
