"sample"	"strain"	"median"
"T12_AB16_I1_REP3"	"262"	0
"T12_AB16_I1_REP3"	"1875"	450
"T12_AB16_I1_REP3"	"1842"	13
"T12_AB16_I1_REP3"	"2948"	0
"T12_AB4_I0_REP1"	"RP4"	0
"T12_AB4_I0_REP1"	"1972"	569
"T12_AB4_I0_REP1"	"6"	0
"T12_AB4_I0_REP1"	"K12"	0
"T12_AB4_I0_REP1"	"2494"	0
"T12_AB4_I0_REP1"	"2159"	0
"T12_AB4_I0_REP1"	"2792"	0
"T12_AB4_I0_REP1"	"2443"	47
"T12_AB4_I0_REP1"	"1292"	6
"T12_AB4_I0_REP1"	"3172"	8
"T12_AB4_I0_REP1"	"1988"	0
"T12_AB4_I0_REP1"	"2659"	0
"T12_AB4_I0_REP1"	"1279"	0
"T12_AB4_I0_REP1"	"1992"	2
"T12_AB4_I0_REP1"	"1966"	0
"T12_AB4_I0_REP1"	"97"	0
"T12_AB4_I0_REP1"	"2164"	0
"T12_AB4_I0_REP1"	"1896"	38
"T12_AB4_I0_REP1"	"105"	14
"T12_AB4_I0_REP1"	"1874"	13
"T12_AB4_I0_REP1"	"1923"	5
"T12_AB4_I0_REP1"	"1287"	134
"T12_AB4_I0_REP1"	"3031"	10
"T12_AB4_I0_REP1"	"216"	2
"T12_AB4_I0_REP1"	"1299"	0
"T12_AB4_I0_REP1"	"1977"	551
"T12_AB4_I0_REP1"	"2160"	7
"T12_AB4_I0_REP1"	"3237"	0
"T12_AB4_I0_REP1"	"403"	9
"T12_AB4_I0_REP1"	"2467"	0
"T12_AB4_I0_REP1"	"262"	0
"T12_AB4_I0_REP1"	"1875"	407
"T12_AB4_I0_REP1"	"1842"	0
"T12_AB4_I0_REP1"	"2948"	0
"T12_AB4_I0_REP2"	"RP4"	0
"T12_AB4_I0_REP2"	"1972"	139
"T12_AB4_I0_REP2"	"6"	0
"T12_AB4_I0_REP2"	"K12"	0
"T12_AB4_I0_REP2"	"2494"	0
"T12_AB4_I0_REP2"	"2159"	0
"T12_AB4_I0_REP2"	"2792"	0
"T12_AB4_I0_REP2"	"2443"	20
"T12_AB4_I0_REP2"	"1292"	3
"T12_AB4_I0_REP2"	"3172"	8
"T12_AB4_I0_REP2"	"1988"	0
"T12_AB4_I0_REP2"	"2659"	0
"T12_AB4_I0_REP2"	"1279"	0
"T12_AB4_I0_REP2"	"1992"	0
"T12_AB4_I0_REP2"	"1966"	0
"T12_AB4_I0_REP2"	"97"	0
"T12_AB4_I0_REP2"	"2164"	0
"T12_AB4_I0_REP2"	"1896"	19
"T12_AB4_I0_REP2"	"105"	8
"T12_AB4_I0_REP2"	"1874"	7
"T12_AB4_I0_REP2"	"1923"	3
"T12_AB4_I0_REP2"	"1287"	63
"T12_AB4_I0_REP2"	"3031"	5
"T12_AB4_I0_REP2"	"216"	0
"T12_AB4_I0_REP2"	"1299"	0
"T12_AB4_I0_REP2"	"1977"	235
"T12_AB4_I0_REP2"	"2160"	3
"T12_AB4_I0_REP2"	"3237"	0
"T12_AB4_I0_REP2"	"403"	2
"T12_AB4_I0_REP2"	"2467"	0
"T12_AB4_I0_REP2"	"262"	0
"T12_AB4_I0_REP2"	"1875"	199
"T12_AB4_I0_REP2"	"1842"	0
"T12_AB4_I0_REP2"	"2948"	0
"T12_AB4_I0_REP3"	"RP4"	0
"T12_AB4_I0_REP3"	"1972"	318
"T12_AB4_I0_REP3"	"6"	0
"T12_AB4_I0_REP3"	"K12"	0
"T12_AB4_I0_REP3"	"2494"	0
"T12_AB4_I0_REP3"	"2159"	0
"T12_AB4_I0_REP3"	"2792"	0
"T12_AB4_I0_REP3"	"2443"	43
"T12_AB4_I0_REP3"	"1292"	8
"T12_AB4_I0_REP3"	"3172"	14
"T12_AB4_I0_REP3"	"1988"	0
"T12_AB4_I0_REP3"	"2659"	0
"T12_AB4_I0_REP3"	"1279"	0
"T12_AB4_I0_REP3"	"1992"	0
"T12_AB4_I0_REP3"	"1966"	0
"T12_AB4_I0_REP3"	"97"	0
"T12_AB4_I0_REP3"	"2164"	0
"T12_AB4_I0_REP3"	"1896"	41
"T12_AB4_I0_REP3"	"105"	13
"T12_AB4_I0_REP3"	"1874"	17
"T12_AB4_I0_REP3"	"1923"	8
"T12_AB4_I0_REP3"	"1287"	138
"T12_AB4_I0_REP3"	"3031"	11
"T12_AB4_I0_REP3"	"216"	2
"T12_AB4_I0_REP3"	"1299"	0
"T12_AB4_I0_REP3"	"1977"	489
"T12_AB4_I0_REP3"	"2160"	7
"T12_AB4_I0_REP3"	"3237"	0
"T12_AB4_I0_REP3"	"403"	12
"T12_AB4_I0_REP3"	"2467"	0
"T12_AB4_I0_REP3"	"262"	0
"T12_AB4_I0_REP3"	"1875"	429
"T12_AB4_I0_REP3"	"1842"	0
"T12_AB4_I0_REP3"	"2948"	0
"T12_AB4_I1_REP1"	"RP4"	0
"T12_AB4_I1_REP1"	"1972"	471
"T12_AB4_I1_REP1"	"6"	0
"T12_AB4_I1_REP1"	"K12"	0
"T12_AB4_I1_REP1"	"2494"	0
"T12_AB4_I1_REP1"	"2159"	0
"T12_AB4_I1_REP1"	"2792"	0
"T12_AB4_I1_REP1"	"2443"	34
"T12_AB4_I1_REP1"	"1292"	5
"T12_AB4_I1_REP1"	"3172"	4
"T12_AB4_I1_REP1"	"1988"	0
"T12_AB4_I1_REP1"	"2659"	0
"T12_AB4_I1_REP1"	"1279"	0
"T12_AB4_I1_REP1"	"1992"	0
"T12_AB4_I1_REP1"	"1966"	0
"T12_AB4_I1_REP1"	"97"	0
"T12_AB4_I1_REP1"	"2164"	0
"T12_AB4_I1_REP1"	"1896"	32
"T12_AB4_I1_REP1"	"105"	13
"T12_AB4_I1_REP1"	"1874"	11
"T12_AB4_I1_REP1"	"1923"	4
"T12_AB4_I1_REP1"	"1287"	133
"T12_AB4_I1_REP1"	"3031"	9
"T12_AB4_I1_REP1"	"216"	2
"T12_AB4_I1_REP1"	"1299"	0
"T12_AB4_I1_REP1"	"1977"	610
"T12_AB4_I1_REP1"	"2160"	5
"T12_AB4_I1_REP1"	"3237"	0
"T12_AB4_I1_REP1"	"403"	5
"T12_AB4_I1_REP1"	"2467"	0
"T12_AB4_I1_REP1"	"262"	0
"T12_AB4_I1_REP1"	"1875"	383
"T12_AB4_I1_REP1"	"1842"	10
"T12_AB4_I1_REP1"	"2948"	0
"T12_AB4_I1_REP2"	"RP4"	0
"T12_AB4_I1_REP2"	"1972"	469
"T12_AB4_I1_REP2"	"6"	0
"T12_AB4_I1_REP2"	"K12"	0
"T12_AB4_I1_REP2"	"2494"	0
"T12_AB4_I1_REP2"	"2159"	0
"T12_AB4_I1_REP2"	"2792"	0
"T12_AB4_I1_REP2"	"2443"	37
"T12_AB4_I1_REP2"	"1292"	9
"T12_AB4_I1_REP2"	"3172"	5
"T12_AB4_I1_REP2"	"1988"	0
"T12_AB4_I1_REP2"	"2659"	0
"T12_AB4_I1_REP2"	"1279"	0
"T12_AB4_I1_REP2"	"1992"	1
"T12_AB4_I1_REP2"	"1966"	0
"T12_AB4_I1_REP2"	"97"	0
"T12_AB4_I1_REP2"	"2164"	0
"T12_AB4_I1_REP2"	"1896"	35
"T12_AB4_I1_REP2"	"105"	7
"T12_AB4_I1_REP2"	"1874"	11
"T12_AB4_I1_REP2"	"1923"	3
"T12_AB4_I1_REP2"	"1287"	112
"T12_AB4_I1_REP2"	"3031"	9
"T12_AB4_I1_REP2"	"216"	2
"T12_AB4_I1_REP2"	"1299"	0
"T12_AB4_I1_REP2"	"1977"	460
"T12_AB4_I1_REP2"	"2160"	3
"T12_AB4_I1_REP2"	"3237"	0
"T12_AB4_I1_REP2"	"403"	6
"T12_AB4_I1_REP2"	"2467"	0
"T12_AB4_I1_REP2"	"262"	0
"T12_AB4_I1_REP2"	"1875"	390
"T12_AB4_I1_REP2"	"1842"	10
"T12_AB4_I1_REP2"	"2948"	0
"T12_AB4_I1_REP3"	"RP4"	0
"T12_AB4_I1_REP3"	"1972"	393
"T12_AB4_I1_REP3"	"6"	0
"T12_AB4_I1_REP3"	"K12"	0
"T12_AB4_I1_REP3"	"2494"	0
"T12_AB4_I1_REP3"	"2159"	0
"T12_AB4_I1_REP3"	"2792"	0
"T12_AB4_I1_REP3"	"2443"	36
"T12_AB4_I1_REP3"	"1292"	8
"T12_AB4_I1_REP3"	"3172"	7
"T12_AB4_I1_REP3"	"1988"	0
"T12_AB4_I1_REP3"	"2659"	0
"T12_AB4_I1_REP3"	"1279"	0
"T12_AB4_I1_REP3"	"1992"	0
"T12_AB4_I1_REP3"	"1966"	0
"T12_AB4_I1_REP3"	"97"	0
"T12_AB4_I1_REP3"	"2164"	0
"T12_AB4_I1_REP3"	"1896"	36
"T12_AB4_I1_REP3"	"105"	12
"T12_AB4_I1_REP3"	"1874"	11
"T12_AB4_I1_REP3"	"1923"	5
"T12_AB4_I1_REP3"	"1287"	155
"T12_AB4_I1_REP3"	"3031"	10
"T12_AB4_I1_REP3"	"216"	1
"T12_AB4_I1_REP3"	"1299"	0
"T12_AB4_I1_REP3"	"1977"	488
"T12_AB4_I1_REP3"	"2160"	5
"T12_AB4_I1_REP3"	"3237"	0
"T12_AB4_I1_REP3"	"403"	4
"T12_AB4_I1_REP3"	"2467"	0
"T12_AB4_I1_REP3"	"262"	0
"T12_AB4_I1_REP3"	"1875"	404
"T12_AB4_I1_REP3"	"1842"	9
"T12_AB4_I1_REP3"	"2948"	0
"T8_AB0_I0_REP1"	"RP4"	0
"T8_AB0_I0_REP1"	"1972"	636
"T8_AB0_I0_REP1"	"6"	14
"T8_AB0_I0_REP1"	"K12"	0
"T8_AB0_I0_REP1"	"2494"	0
"T8_AB0_I0_REP1"	"2159"	0
"T8_AB0_I0_REP1"	"2792"	0
"T8_AB0_I0_REP1"	"2443"	5
"T8_AB0_I0_REP1"	"1292"	5
"T8_AB0_I0_REP1"	"3172"	13
"T8_AB0_I0_REP1"	"1988"	0
"T8_AB0_I0_REP1"	"2659"	0
"T8_AB0_I0_REP1"	"1279"	0
"T8_AB0_I0_REP1"	"1992"	5
"T8_AB0_I0_REP1"	"1966"	0
"T8_AB0_I0_REP1"	"97"	0
"T8_AB0_I0_REP1"	"2164"	0
"T8_AB0_I0_REP1"	"1896"	82
"T8_AB0_I0_REP1"	"105"	17
"T8_AB0_I0_REP1"	"1874"	31
"T8_AB0_I0_REP1"	"1923"	4
"T8_AB0_I0_REP1"	"1287"	94
"T8_AB0_I0_REP1"	"3031"	12
"T8_AB0_I0_REP1"	"216"	2
"T8_AB0_I0_REP1"	"1299"	0
"T8_AB0_I0_REP1"	"1977"	732
"T8_AB0_I0_REP1"	"2160"	11
"T8_AB0_I0_REP1"	"3237"	0
"T8_AB0_I0_REP1"	"403"	5
"T8_AB0_I0_REP1"	"2467"	0
"T8_AB0_I0_REP1"	"262"	0
"T8_AB0_I0_REP1"	"1875"	700
"T8_AB0_I0_REP1"	"1842"	0
"T8_AB0_I0_REP1"	"2948"	0
"T8_AB0_I0_REP2"	"RP4"	0
"T8_AB0_I0_REP2"	"1972"	691
"T8_AB0_I0_REP2"	"6"	29
"T8_AB0_I0_REP2"	"K12"	0
"T8_AB0_I0_REP2"	"2494"	0
"T8_AB0_I0_REP2"	"2159"	0
"T8_AB0_I0_REP2"	"2792"	0
"T8_AB0_I0_REP2"	"2443"	5
"T8_AB0_I0_REP2"	"1292"	6
"T8_AB0_I0_REP2"	"3172"	15
"T8_AB0_I0_REP2"	"1988"	0
"T8_AB0_I0_REP2"	"2659"	0
"T8_AB0_I0_REP2"	"1279"	0
"T8_AB0_I0_REP2"	"1992"	2
"T8_AB0_I0_REP2"	"1966"	0
"T8_AB0_I0_REP2"	"97"	0
"T8_AB0_I0_REP2"	"2164"	0
"T8_AB0_I0_REP2"	"1896"	91
"T8_AB0_I0_REP2"	"105"	19
"T8_AB0_I0_REP2"	"1874"	40
"T8_AB0_I0_REP2"	"1923"	6
"T8_AB0_I0_REP2"	"1287"	115
"T8_AB0_I0_REP2"	"3031"	15
"T8_AB0_I0_REP2"	"216"	2
"T8_AB0_I0_REP2"	"1299"	0
"T8_AB0_I0_REP2"	"1977"	759
"T8_AB0_I0_REP2"	"2160"	17
"T8_AB0_I0_REP2"	"3237"	0
"T8_AB0_I0_REP2"	"403"	7
"T8_AB0_I0_REP2"	"2467"	0
"T8_AB0_I0_REP2"	"262"	0
"T8_AB0_I0_REP2"	"1875"	805
"T8_AB0_I0_REP2"	"1842"	0
"T8_AB0_I0_REP2"	"2948"	0
"T8_AB0_I0_REP3"	"RP4"	0
"T8_AB0_I0_REP3"	"1972"	509
"T8_AB0_I0_REP3"	"6"	22
"T8_AB0_I0_REP3"	"K12"	0
"T8_AB0_I0_REP3"	"2494"	0
"T8_AB0_I0_REP3"	"2159"	0
"T8_AB0_I0_REP3"	"2792"	0
"T8_AB0_I0_REP3"	"2443"	2
"T8_AB0_I0_REP3"	"1292"	5
"T8_AB0_I0_REP3"	"3172"	13
"T8_AB0_I0_REP3"	"1988"	0
"T8_AB0_I0_REP3"	"2659"	0
"T8_AB0_I0_REP3"	"1279"	0
"T8_AB0_I0_REP3"	"1992"	5
"T8_AB0_I0_REP3"	"1966"	0
"T8_AB0_I0_REP3"	"97"	0
"T8_AB0_I0_REP3"	"2164"	0
"T8_AB0_I0_REP3"	"1896"	74
"T8_AB0_I0_REP3"	"105"	14
"T8_AB0_I0_REP3"	"1874"	37
"T8_AB0_I0_REP3"	"1923"	4
"T8_AB0_I0_REP3"	"1287"	80
"T8_AB0_I0_REP3"	"3031"	12
"T8_AB0_I0_REP3"	"216"	2
"T8_AB0_I0_REP3"	"1299"	0
"T8_AB0_I0_REP3"	"1977"	605
"T8_AB0_I0_REP3"	"2160"	11
"T8_AB0_I0_REP3"	"3237"	0
"T8_AB0_I0_REP3"	"403"	5
"T8_AB0_I0_REP3"	"2467"	0
"T8_AB0_I0_REP3"	"262"	0
"T8_AB0_I0_REP3"	"1875"	673
"T8_AB0_I0_REP3"	"1842"	0
"T8_AB0_I0_REP3"	"2948"	0
"T8_AB0_I1_REP1"	"RP4"	0
"T8_AB0_I1_REP1"	"1972"	570
"T8_AB0_I1_REP1"	"6"	53
"T8_AB0_I1_REP1"	"K12"	0
"T8_AB0_I1_REP1"	"2494"	0
"T8_AB0_I1_REP1"	"2159"	0
"T8_AB0_I1_REP1"	"2792"	0
"T8_AB0_I1_REP1"	"2443"	6
"T8_AB0_I1_REP1"	"1292"	14
"T8_AB0_I1_REP1"	"3172"	14
"T8_AB0_I1_REP1"	"1988"	0
"T8_AB0_I1_REP1"	"2659"	0
"T8_AB0_I1_REP1"	"1279"	11
"T8_AB0_I1_REP1"	"1992"	2
"T8_AB0_I1_REP1"	"1966"	0
"T8_AB0_I1_REP1"	"97"	0
"T8_AB0_I1_REP1"	"2164"	0
"T8_AB0_I1_REP1"	"1896"	81
"T8_AB0_I1_REP1"	"105"	20
"T8_AB0_I1_REP1"	"1874"	30
"T8_AB0_I1_REP1"	"1923"	3
"T8_AB0_I1_REP1"	"1287"	155
"T8_AB0_I1_REP1"	"3031"	14
"T8_AB0_I1_REP1"	"216"	2
"T8_AB0_I1_REP1"	"1299"	3
"T8_AB0_I1_REP1"	"1977"	569
"T8_AB0_I1_REP1"	"2160"	15
"T8_AB0_I1_REP1"	"3237"	0
"T8_AB0_I1_REP1"	"403"	6
"T8_AB0_I1_REP1"	"2467"	0
"T8_AB0_I1_REP1"	"262"	0
"T8_AB0_I1_REP1"	"1875"	703
"T8_AB0_I1_REP1"	"1842"	12
"T8_AB0_I1_REP1"	"2948"	0
"T8_AB0_I1_REP2"	"RP4"	0
"T8_AB0_I1_REP2"	"1972"	484
"T8_AB0_I1_REP2"	"6"	14
"T8_AB0_I1_REP2"	"K12"	0
"T8_AB0_I1_REP2"	"2494"	0
"T8_AB0_I1_REP2"	"2159"	0
"T8_AB0_I1_REP2"	"2792"	0
"T8_AB0_I1_REP2"	"2443"	5
"T8_AB0_I1_REP2"	"1292"	11
"T8_AB0_I1_REP2"	"3172"	16
"T8_AB0_I1_REP2"	"1988"	0
"T8_AB0_I1_REP2"	"2659"	0
"T8_AB0_I1_REP2"	"1279"	0
"T8_AB0_I1_REP2"	"1992"	5
"T8_AB0_I1_REP2"	"1966"	0
"T8_AB0_I1_REP2"	"97"	0
"T8_AB0_I1_REP2"	"2164"	0
"T8_AB0_I1_REP2"	"1896"	73
"T8_AB0_I1_REP2"	"105"	20
"T8_AB0_I1_REP2"	"1874"	27
"T8_AB0_I1_REP2"	"1923"	6
"T8_AB0_I1_REP2"	"1287"	155
"T8_AB0_I1_REP2"	"3031"	11
"T8_AB0_I1_REP2"	"216"	2
"T8_AB0_I1_REP2"	"1299"	0
"T8_AB0_I1_REP2"	"1977"	672
"T8_AB0_I1_REP2"	"2160"	8
"T8_AB0_I1_REP2"	"3237"	0
"T8_AB0_I1_REP2"	"403"	12
"T8_AB0_I1_REP2"	"2467"	0
"T8_AB0_I1_REP2"	"262"	0
"T8_AB0_I1_REP2"	"1875"	669
"T8_AB0_I1_REP2"	"1842"	10
"T8_AB0_I1_REP2"	"2948"	0
"T8_AB0_I1_REP3"	"RP4"	0
"T8_AB0_I1_REP3"	"1972"	411
"T8_AB0_I1_REP3"	"6"	24
"T8_AB0_I1_REP3"	"K12"	0
"T8_AB0_I1_REP3"	"2494"	0
"T8_AB0_I1_REP3"	"2159"	0
"T8_AB0_I1_REP3"	"2792"	0
"T8_AB0_I1_REP3"	"2443"	4
"T8_AB0_I1_REP3"	"1292"	12
"T8_AB0_I1_REP3"	"3172"	17
"T8_AB0_I1_REP3"	"1988"	0
"T8_AB0_I1_REP3"	"2659"	0
"T8_AB0_I1_REP3"	"1279"	0
"T8_AB0_I1_REP3"	"1992"	2
"T8_AB0_I1_REP3"	"1966"	0
"T8_AB0_I1_REP3"	"97"	0
"T8_AB0_I1_REP3"	"2164"	0
"T8_AB0_I1_REP3"	"1896"	88
"T8_AB0_I1_REP3"	"105"	32
"T8_AB0_I1_REP3"	"1874"	31
"T8_AB0_I1_REP3"	"1923"	8
"T8_AB0_I1_REP3"	"1287"	123
"T8_AB0_I1_REP3"	"3031"	11
"T8_AB0_I1_REP3"	"216"	2
"T8_AB0_I1_REP3"	"1299"	0
"T8_AB0_I1_REP3"	"1977"	592
"T8_AB0_I1_REP3"	"2160"	9
"T8_AB0_I1_REP3"	"3237"	0
"T8_AB0_I1_REP3"	"403"	15
"T8_AB0_I1_REP3"	"2467"	0
"T8_AB0_I1_REP3"	"262"	0
"T8_AB0_I1_REP3"	"1875"	585
"T8_AB0_I1_REP3"	"1842"	12
"T8_AB0_I1_REP3"	"2948"	0
"T8_AB128_I0_REP1"	"RP4"	0
"T8_AB128_I0_REP1"	"1972"	0
"T8_AB128_I0_REP1"	"6"	0
"T8_AB128_I0_REP1"	"K12"	0
"T8_AB128_I0_REP1"	"2494"	0
"T8_AB128_I0_REP1"	"2159"	0
"T8_AB128_I0_REP1"	"2792"	0
"T8_AB128_I0_REP1"	"2443"	0
"T8_AB128_I0_REP1"	"1292"	0
"T8_AB128_I0_REP1"	"3172"	13
"T8_AB128_I0_REP1"	"1988"	0
"T8_AB128_I0_REP1"	"2659"	109
"T8_AB128_I0_REP1"	"1279"	0
"T8_AB128_I0_REP1"	"1992"	9
"T8_AB128_I0_REP1"	"1966"	0
"T8_AB128_I0_REP1"	"97"	0
"T8_AB128_I0_REP1"	"2164"	0
"T8_AB128_I0_REP1"	"1896"	1
"T8_AB128_I0_REP1"	"105"	32
"T8_AB128_I0_REP1"	"1874"	0
"T8_AB128_I0_REP1"	"1923"	0
"T8_AB128_I0_REP1"	"1287"	849
"T8_AB128_I0_REP1"	"3031"	180
"T8_AB128_I0_REP1"	"216"	0
"T8_AB128_I0_REP1"	"1299"	0
"T8_AB128_I0_REP1"	"1977"	0
"T8_AB128_I0_REP1"	"2160"	0
"T8_AB128_I0_REP1"	"3237"	0
"T8_AB128_I0_REP1"	"403"	0
"T8_AB128_I0_REP1"	"2467"	0
"T8_AB128_I0_REP1"	"262"	0
"T8_AB128_I0_REP1"	"1875"	999
"T8_AB128_I0_REP1"	"1842"	0
"T8_AB128_I0_REP1"	"2948"	0
"T8_AB128_I0_REP2"	"RP4"	0
"T8_AB128_I0_REP2"	"1972"	0
"T8_AB128_I0_REP2"	"6"	0
"T8_AB128_I0_REP2"	"K12"	0
"T8_AB128_I0_REP2"	"2494"	0
"T8_AB128_I0_REP2"	"2159"	0
"T8_AB128_I0_REP2"	"2792"	0
"T8_AB128_I0_REP2"	"2443"	0
"T8_AB128_I0_REP2"	"1292"	0
"T8_AB128_I0_REP2"	"3172"	13
"T8_AB128_I0_REP2"	"1988"	0
"T8_AB128_I0_REP2"	"2659"	17
"T8_AB128_I0_REP2"	"1279"	0
"T8_AB128_I0_REP2"	"1992"	26
"T8_AB128_I0_REP2"	"1966"	0
"T8_AB128_I0_REP2"	"97"	0
"T8_AB128_I0_REP2"	"2164"	0
"T8_AB128_I0_REP2"	"1896"	1
"T8_AB128_I0_REP2"	"105"	15
"T8_AB128_I0_REP2"	"1874"	0
"T8_AB128_I0_REP2"	"1923"	0
"T8_AB128_I0_REP2"	"1287"	666
"T8_AB128_I0_REP2"	"3031"	171
"T8_AB128_I0_REP2"	"216"	0
"T8_AB128_I0_REP2"	"1299"	0
"T8_AB128_I0_REP2"	"1977"	0
"T8_AB128_I0_REP2"	"2160"	0
"T8_AB128_I0_REP2"	"3237"	0
"T8_AB128_I0_REP2"	"403"	154
"T8_AB128_I0_REP2"	"2467"	0
"T8_AB128_I0_REP2"	"262"	0
"T8_AB128_I0_REP2"	"1875"	979
"T8_AB128_I0_REP2"	"1842"	0
"T8_AB128_I0_REP2"	"2948"	0
"T8_AB128_I0_REP3"	"RP4"	0
"T8_AB128_I0_REP3"	"1972"	0
"T8_AB128_I0_REP3"	"6"	0
"T8_AB128_I0_REP3"	"K12"	0
"T8_AB128_I0_REP3"	"2494"	0
"T8_AB128_I0_REP3"	"2159"	0
"T8_AB128_I0_REP3"	"2792"	0
"T8_AB128_I0_REP3"	"2443"	0
"T8_AB128_I0_REP3"	"1292"	0
"T8_AB128_I0_REP3"	"3172"	27
"T8_AB128_I0_REP3"	"1988"	0
"T8_AB128_I0_REP3"	"2659"	41
"T8_AB128_I0_REP3"	"1279"	0
"T8_AB128_I0_REP3"	"1992"	38
"T8_AB128_I0_REP3"	"1966"	0
"T8_AB128_I0_REP3"	"97"	0
"T8_AB128_I0_REP3"	"2164"	0
"T8_AB128_I0_REP3"	"1896"	3
"T8_AB128_I0_REP3"	"105"	16
"T8_AB128_I0_REP3"	"1874"	0
"T8_AB128_I0_REP3"	"1923"	0
"T8_AB128_I0_REP3"	"1287"	1016
"T8_AB128_I0_REP3"	"3031"	210
"T8_AB128_I0_REP3"	"216"	0
"T8_AB128_I0_REP3"	"1299"	0
"T8_AB128_I0_REP3"	"1977"	0
"T8_AB128_I0_REP3"	"2160"	0
"T8_AB128_I0_REP3"	"3237"	0
"T8_AB128_I0_REP3"	"403"	0
"T8_AB128_I0_REP3"	"2467"	0
"T8_AB128_I0_REP3"	"262"	0
"T8_AB128_I0_REP3"	"1875"	1306
"T8_AB128_I0_REP3"	"1842"	0
"T8_AB128_I0_REP3"	"2948"	0
"T8_AB128_I1_REP1"	"RP4"	0
"T8_AB128_I1_REP1"	"1972"	0
"T8_AB128_I1_REP1"	"6"	0
"T8_AB128_I1_REP1"	"K12"	0
"T8_AB128_I1_REP1"	"2494"	0
"T8_AB128_I1_REP1"	"2159"	0
"T8_AB128_I1_REP1"	"2792"	0
"T8_AB128_I1_REP1"	"2443"	0
"T8_AB128_I1_REP1"	"1292"	2
"T8_AB128_I1_REP1"	"3172"	13
"T8_AB128_I1_REP1"	"1988"	0
"T8_AB128_I1_REP1"	"2659"	50
"T8_AB128_I1_REP1"	"1279"	0
"T8_AB128_I1_REP1"	"1992"	6
"T8_AB128_I1_REP1"	"1966"	0
"T8_AB128_I1_REP1"	"97"	0
"T8_AB128_I1_REP1"	"2164"	0
"T8_AB128_I1_REP1"	"1896"	2
"T8_AB128_I1_REP1"	"105"	58
"T8_AB128_I1_REP1"	"1874"	11
"T8_AB128_I1_REP1"	"1923"	0
"T8_AB128_I1_REP1"	"1287"	949
"T8_AB128_I1_REP1"	"3031"	143
"T8_AB128_I1_REP1"	"216"	0
"T8_AB128_I1_REP1"	"1299"	0
"T8_AB128_I1_REP1"	"1977"	0
"T8_AB128_I1_REP1"	"2160"	0
"T8_AB128_I1_REP1"	"3237"	0
"T8_AB128_I1_REP1"	"403"	0
"T8_AB128_I1_REP1"	"2467"	0
"T8_AB128_I1_REP1"	"262"	0
"T8_AB128_I1_REP1"	"1875"	1018
"T8_AB128_I1_REP1"	"1842"	3
"T8_AB128_I1_REP1"	"2948"	0
"T8_AB128_I1_REP2"	"RP4"	0
"T8_AB128_I1_REP2"	"1972"	0
"T8_AB128_I1_REP2"	"6"	0
"T8_AB128_I1_REP2"	"K12"	0
"T8_AB128_I1_REP2"	"2494"	0
"T8_AB128_I1_REP2"	"2159"	0
"T8_AB128_I1_REP2"	"2792"	0
"T8_AB128_I1_REP2"	"2443"	0
"T8_AB128_I1_REP2"	"1292"	1
"T8_AB128_I1_REP2"	"3172"	9
"T8_AB128_I1_REP2"	"1988"	0
"T8_AB128_I1_REP2"	"2659"	4
"T8_AB128_I1_REP2"	"1279"	0
"T8_AB128_I1_REP2"	"1992"	9
"T8_AB128_I1_REP2"	"1966"	0
"T8_AB128_I1_REP2"	"97"	0
"T8_AB128_I1_REP2"	"2164"	0
"T8_AB128_I1_REP2"	"1896"	2
"T8_AB128_I1_REP2"	"105"	35
"T8_AB128_I1_REP2"	"1874"	0
"T8_AB128_I1_REP2"	"1923"	0
"T8_AB128_I1_REP2"	"1287"	854
"T8_AB128_I1_REP2"	"3031"	217
"T8_AB128_I1_REP2"	"216"	0
"T8_AB128_I1_REP2"	"1299"	0
"T8_AB128_I1_REP2"	"1977"	163
"T8_AB128_I1_REP2"	"2160"	0
"T8_AB128_I1_REP2"	"3237"	0
"T8_AB128_I1_REP2"	"403"	0
"T8_AB128_I1_REP2"	"2467"	0
"T8_AB128_I1_REP2"	"262"	0
"T8_AB128_I1_REP2"	"1875"	893
"T8_AB128_I1_REP2"	"1842"	5
"T8_AB128_I1_REP2"	"2948"	0
"T8_AB128_I1_REP3"	"RP4"	0
"T8_AB128_I1_REP3"	"1972"	0
"T8_AB128_I1_REP3"	"6"	0
"T8_AB128_I1_REP3"	"K12"	0
"T8_AB128_I1_REP3"	"2494"	0
"T8_AB128_I1_REP3"	"2159"	0
"T8_AB128_I1_REP3"	"2792"	0
"T8_AB128_I1_REP3"	"2443"	0
"T8_AB128_I1_REP3"	"1292"	1
"T8_AB128_I1_REP3"	"3172"	11
"T8_AB128_I1_REP3"	"1988"	0
"T8_AB128_I1_REP3"	"2659"	47
"T8_AB128_I1_REP3"	"1279"	0
"T8_AB128_I1_REP3"	"1992"	9
"T8_AB128_I1_REP3"	"1966"	0
"T8_AB128_I1_REP3"	"97"	0
"T8_AB128_I1_REP3"	"2164"	0
"T8_AB128_I1_REP3"	"1896"	13
"T8_AB128_I1_REP3"	"105"	62
"T8_AB128_I1_REP3"	"1874"	0
"T8_AB128_I1_REP3"	"1923"	0
"T8_AB128_I1_REP3"	"1287"	1004
"T8_AB128_I1_REP3"	"3031"	156
"T8_AB128_I1_REP3"	"216"	0
"T8_AB128_I1_REP3"	"1299"	0
"T8_AB128_I1_REP3"	"1977"	0
"T8_AB128_I1_REP3"	"2160"	0
"T8_AB128_I1_REP3"	"3237"	0
"T8_AB128_I1_REP3"	"403"	0
